,Name,Vertex,Edges,Density,Max. Degree,Avg. Degree,Max. k-core,Avg. Clustering Coeff.,Diameter,Average Path Length,Total Triangles,Avg. Eigenvector Centrality
0,CL,40,94,0.12051282051282051,11,4.7,3,0.0892784992784993,4,2.405128205128205,10.0,0.14576863372323048
1,CL,50,113,0.09224489795918367,9,4.52,3,0.07387301587301588,5,2.6579591836734693,11.0,0.12680329351588776
2,CL,60,170,0.096045197740113,10,5.666666666666667,4,0.06585978835978834,5,2.501129943502825,20.0,0.11784005971928649
3,CL,70,232,0.09606625258799172,14,6.628571428571429,4,0.08185845900131614,5,2.426915113871636,47.0,0.1074153107663217
4,CL,80,309,0.09778481012658227,15,7.725,6,0.08036484348984346,4,2.350632911392405,68.0,0.10378882604781219
5,CL,90,416,0.10387016229712859,19,9.244444444444444,6,0.11016163011777047,4,2.2444444444444445,131.0,0.09908515984412129
6,CL,100,508,0.10262626262626262,19,10.16,7,0.10855738456589847,4,2.2135353535353537,183.0,0.09514694844985502
7,CL,110,589,0.09824854045037532,19,10.709090909090909,7,0.0933992895961654,4,2.211342785654712,194.0,0.09151567978589978
8,CL,120,735,0.10294117647058823,21,12.25,9,0.09182415509040893,3,2.146638655462185,276.0,0.08835811775901938
9,CL,130,890,0.10614192009540847,24,13.692307692307692,10,0.11160741135088023,3,2.100298151460942,444.0,0.08464778407813699
10,CL,140,990,0.10174717368961973,23,14.142857142857142,10,0.10314833906443993,3,2.1138746145940392,464.0,0.08175467529589397
11,CL,150,1095,0.09798657718120805,25,14.6,10,0.09677395487359129,4,2.1261744966442953,513.0,0.07822491665975193
12,CL,160,1203,0.09457547169811321,26,15.0375,10,0.09671035119906929,3,2.122248427672956,588.0,0.07623725002006607
13,CL,170,1542,0.1073442394709363,32,18.141176470588235,13,0.10929972753886677,3,2.0240863209189,1022.0,0.0744607933052422
14,CL,180,1579,0.09801365611421477,31,17.544444444444444,12,0.0959952071878756,3,2.0626939788950964,906.0,0.07212103554859721
15,CL,190,1746,0.09724310776942356,31,18.378947368421052,13,0.09660288924357882,3,2.054469507101086,1024.0,0.07086031209274887
16,CL,200,1946,0.09778894472361808,36,19.46,13,0.09745792284857259,3,2.041356783919598,1234.0,0.06866270552724868
17,CL,210,2201,0.10029619503303713,32,20.961904761904762,15,0.09898182466075617,3,2.0118933697881065,1497.0,0.06754700929974526
18,CL,220,2343,0.09726027397260274,35,21.3,15,0.09620978563262657,3,2.015400581154006,1586.0,0.06578343455389177
19,CL,230,2560,0.09720903740269603,32,22.26086956521739,16,0.09513608632745495,3,2.0034175052211887,1792.0,0.06461477520542767
20,CL,240,2869,0.10003486750348675,40,23.908333333333335,17,0.10082414763236008,3,1.98197350069735,2329.0,0.06312074115465771
